Operatore,ID impianto,Tipo,Ubicazione,Prov,Lat.,Long.,Alt.,Ch.,Freq.C,Prog/Bouquet,ERP Max,
SETTE GOLD S.R.L.,CNF105925,TD,MIGLIONICO - MIGLIONICO,MT,40N3335,16E2834,465,31,554,7 GOLD,"H: --
V: 36 dBW",554.0
SMS SOC.COOP.ARL,CNF144451,FM  (S),SERRA CORTINA - COLOBRARO,MT,40N1140,16E2527,767,,"100,3",RADIO ITALIA ANNI 60,"H: --
V: --",0.0
SMS SOC.COOP.ARL,CNF144785,FM  (S),SERRA CORTINA - COLOBRARO,MT,40N1140,16E2527,767,,"105,5",RADIO STELLA,"H: --
V: --",0.0
SMS SOC.COOP.ARL,CNF144786,FM  (S),SERRA CORTINA - COLOBRARO,MT,40N1140,16E2527,767,,"105,1",RADIO STELLA,"H: --
V: --",0.0
STELLA SRL,CNF143286,FM  (S),SERRA DELLE VIGNE - TRICARICO,MT,40N3656,16E0809,768,,"101,5",RADIO AZZURRA,"H: --
V: --",0.0
TELE BASILICATA MATERA S.R.L.,CNF128935,TD,Miglionico - MIGLIONICO,MT,40N3410,16E3008,460,43,650,TBM,"H: 28 dBW
V: --",650.0
TELE BASILICATA MATERA S.R.L.,CNF128940,TD,Bernalda - BERNALDA,MT,40N2450,16E4158,120,43,650,TBM,"H: 29 dBW
V: --",650.0
TELE BASILICATA MATERA S.R.L.,CNF128941,TD,Murgecchia - MATERA,MT,40N4050,16E3639,419,43,650,TBM,"H: 21 dBW
V: --",650.0
TELE DEHON S.R.L.,CNF158940,TD,C.DA MANFERRARA - POMARICO,MT,40N3209,16E2959,468,51,714,TELE DEHON,"H: --
V: 29 dBW",714.0
TELENORBA S.P.A.,CNF115122,TD,C.DA GALLIPOLI - ACCETTURA,MT,40N3059,16E0816,877,21,474,TN7 TELENORBA,"H: --
V: 14 dBW",474.0
TELENORBA S.P.A.,CNF115123,TD,C.DA MANFERRARA - POMARICO,MT,40N3208,16E2959,456,59,778,TN8 TELENORBA,"H: --
V: 27 dBW",778.0
TELENORBA S.P.A.,CNF115124,TD,C.DA MANFERRARA - POMARICO,MT,40N3208,16E2959,456,21,474,TN7 TELENORBA,"H: --
V: 30 dBW",474.0
TELENORBA S.P.A.,CNF115125,TD,C.DA MURGETTA - MATERA,MT,40N4036,16E3700,401,46,674,TG NORBA 24,"H: --
V: 21 dBW",674.0
TELENORBA S.P.A.,CNF115128,TD,C.DA SAN ROCCO - TURSI,MT,40N1451,16E2744,292,59,778,TN8 TELENORBA,"H: --
V: 20 dBW",778.0
TELENORBA S.P.A.,CNF115129,TD,C.DA SAN ROCCO - TURSI,MT,40N1451,16E2744,292,21,474,TN7 TELENORBA,"H: --
V: 17 dBW",474.0
TELENORBA S.P.A.,CNF115154,TD,MADONNA DEL PERGAMO - GORGOGLIONE,MT,40N2243,16E0938,935,59,778,TN8 TELENORBA,"H: 15 dBW
V: --",778.0
TELENORBA S.P.A.,CNF115155,TD,MADONNA DEL PERGAMO - GORGOGLIONE,MT,40N2243,16E0938,935,21,474,TN7 TELENORBA,"H: --
V: 14 dBW",474.0
TELENORBA S.P.A.,CNF115156,TD,LOCALITA' SAN VALENTINO - TRICARICO,MT,40N3645,16E0857,726,21,474,TN7 TELENORBA,"H: --
V: 17 dBW",474.0
TELENORBA S.P.A.,CNF115165,TD,LOCALITA' CALVARIO - COLOBRARO,MT,40N1139,16E2530,669,21,474,TN7 TELENORBA,"H: --
V: 27 dBW",474.0
TELENORBA S.P.A.,CNF122669,TD,CONTRADA MANFERRARA - POMARICO,MT,40N3208,16E2959,456,46,674,TG NORBA 24,"H: --
V: 24 dBW",674.0
TELENORBA S.P.A.,CNF134993,TD,LOC. CALVARIO - COLOBRARO,MT,40N1141,16E2528,724,59,778,TN8 TELENORBA,"H: 25 dBW
V: --",778.0
TELENORBA S.P.A.,CNF135003,TD,MATERA - MATERA,MT,40N4035,16E3700,401,59,778,TN8 TELENORBA,"H: --
V: 19 dBW",778.0
TELENORBA S.P.A.,CNF135048,TD,LOC. SAN VALENTINO - TRICARICO,MT,40N3644,16E0856,730,46,674,TG NORBA 24,"H: --
V: 14 dBW",674.0
TELENORBA S.P.A.,CNF135051,TD,CONTRADA GALLIPOLI - ACCETTURA,MT,40N3058,16E0813,818,46,674,TG NORBA 24,"H: 17 dBW
V: --",674.0
TELENORBA S.P.A.,CNF135054,TD,LOC. CALVARIO - COLOBRARO,MT,40N1141,16E2528,724,46,674,TG NORBA 24,"H: 17 dBW
V: --",674.0
TELENORBA S.P.A.,CNF135055,TD,MADONNA DEL PERGAMO - GORGOGLIONE,MT,40N2238,16E0937,943,46,674,TG NORBA 24,"H: 14 dBW
V: --",674.0
TELENORBA S.P.A.,CNF135065,TD,C.DA MURGETTA - MATERA,MT,40N4036,16E3700,401,21,474,TN7 TELENORBA,"H: --
V: 20 dBW",474.0
TELENORBA S.P.A.,CNF135595,TD,GARAGUSO - GARAGUSO,MT,40N3116,16E1238,750,46,674,TG NORBA 24,"H: 14 dBW
V: --",674.0
TELENORBA S.P.A.,CNF135609,TD,CIRIGLIANO - CIRIGLIANO,MT,40N2328,16E1018,646,46,674,TG NORBA 24,"H: 14 dBW
V: --",674.0
TELENORBA S.P.A.,CNF135618,TD,OLIVETO LUCANO - OLIVETO LUCANO,MT,40N3208,16E1103,555,46,674,TG NORBA 24,"H: 11 dBW
V: --",674.0
TELENORBA S.P.A.,CNF135622,TD,SAN MAURO FORTE - SAN MAURO FORTE,MT,40N3055,16E1457,662,46,674,TG NORBA 24,"H: 17 dBW
V: --",674.0
TELENORBA S.P.A.,CNF135632,TD,GARAGUSO - GARAGUSO,MT,40N3116,16E1238,750,21,474,TN7 TELENORBA,"H: 13 dBW
V: --",474.0
TELENORBA S.P.A.,CNF135645,TD,CIRIGLIANO - CIRIGLIANO,MT,40N2328,16E1018,646,21,474,TN7 TELENORBA,"H: 13 dBW
V: --",474.0
TELENORBA S.P.A.,CNF135655,TD,SAN MAURO FORTE - SAN MAURO FORTE,MT,40N3055,16E1457,662,21,474,TN7 TELENORBA,"H: 16 dBW
V: --",474.0
TELENORBA S.P.A.,CNF135672,TD,CIRIGLIANO - CIRIGLIANO,MT,40N2328,16E1018,646,59,778,TN8 TELENORBA,"H: 15 dBW
V: --",778.0
TELENORBA S.P.A.,CNF135676,TD,GARAGUSO - GARAGUSO,MT,40N3116,16E1238,750,59,778,TN8 TELENORBA,"H: 18 dBW
V: --",778.0
TELENORBA S.P.A.,CNF135697,TD,SAN MAURO FORTE - SAN MAURO FORTE,MT,40N3055,16E1457,662,59,778,TN8 TELENORBA,"H: 18 dBW
V: --",778.0
TELEREGIONE S.R.L.,CNF122661,TD,MATERA TRASANO - MATERA,MT,40N4002,16E3822,470,23,490,TELEREGIONE,"H: --
V: 43 dBW",490.0
TELEREGIONE S.R.L.,CNF157676,TD,Murgia Murgecchia V con nullo - MATERA,MT,40N4035,16E3711,419,23,490,TELEREGIONE,"H: --
V: 32 dBW",490.0
TRM NETWORK S.R.L.,CNF137880,TD,"Tursi 1 - C,da San Rocco - TURSI",MT,40N1453,16E2748,290,39,618,TRM Network,"H: 11 dBW
V: --",618.0
TRM NETWORK S.R.L.,CNF147874,FM  (S),VIA LUPO PROTOSPATA - IRSINA,MT,40N4430,16E1446,533,,96,TRM RADIOTELEVISIONE DEL MEZZOGIORNO,"H: --
V: --",0.0
VIDEOPUGLIA - S.R.L. IN LIQUIDAZIONE,CNF115164,TD,LOCALITA' CALVARIO - COLOBRARO,MT,40N1139,16E2530,669,33,570,T9 TELEPUGLIA,"H: --
V: 17 dBW",570.0
VIRGIN RADIO ITALY S.P.A.,CNF150588,FM  (S),CONTRADA COLABARILE - MIGLIONICO,MT,40N3337,16E3835,465,,"90,9",VIRGIN RADIO,"H: --
V: --",0.0
VIRGIN RADIO ITALY S.P.A.,CNF150709,FM  (S),MASSERIA CAMPANARO - MONTESCAGLIOSO,MT,40N2554,16E3822,176,,"97,9",VIRGIN RADIO,"H: --
V: --",0.0
